id,restaurant_id,restaurant,name,description,price,spicy,vegetarian,popular
r-013-i-000,r-013,Patty Lab,Classic Cheeseburger,"Beef patty, cheddar, lettuce, pickles, house sauce",AED 66,false,false,false
r-013-i-001,r-013,Patty Lab,Double Smash Burger,"Two smashed beef patties, American cheese, onion",AED 18,false,false,false
r-013-i-002,r-013,Patty Lab,Bacon BBQ Burger,"Beef, smoked bacon, BBQ sauce, crispy onions",AED 88,false,false,false
r-013-i-003,r-013,Patty Lab,Mushroom Swiss Burger,"Beef, sauteed mushrooms, swiss cheese",AED 25,false,false,false
r-013-i-004,r-013,Patty Lab,Spicy Jalapeno Burger,"Beef, pepper jack, jalapenos, chipotle mayo",AED 39,true,false,true
r-013-i-005,r-013,Patty Lab,Truffle Burger,"Beef, truffle aioli, gruyere, arugula",AED 73,false,false,true
r-013-i-006,r-013,Patty Lab,Buttermilk Chicken Burger,"Crispy chicken, slaw, pickles, ranch",AED 25,false,false,false
r-013-i-007,r-013,Patty Lab,Nashville Hot Chicken,"Spiced fried chicken, pickles, hot honey",AED 83,true,false,false
r-013-i-008,r-013,Patty Lab,Veggie Smash,"Black bean patty, avocado, smoked paprika mayo",AED 47,false,true,false
r-013-i-009,r-013,Patty Lab,Beyond Burger,"Plant-based patty, cheddar, secret sauce",AED 66,false,true,false
r-013-i-010,r-013,Patty Lab,Chili Cheese Fries,"Fries, beef chili, melted cheese, jalapenos",AED 91,true,false,false
r-013-i-011,r-013,Patty Lab,Loaded Fries,"Fries, cheese sauce, bacon, scallion",AED 94,false,false,false
r-013-i-012,r-013,Patty Lab,Sweet Potato Fries,With chipotle aioli,AED 89,false,true,false
r-013-i-013,r-013,Patty Lab,Onion Rings,"Beer-battered, ranch dip",AED 46,false,true,true
r-013-i-014,r-013,Patty Lab,Crispy Wings,"Choice of buffalo, BBQ or garlic parm",AED 46,true,false,false
r-013-i-015,r-013,Patty Lab,Boneless Tenders,"Buttermilk-fried, honey mustard",AED 51,false,false,false
r-013-i-016,r-013,Patty Lab,Caesar Salad,"Romaine, parmesan, croutons, anchovy dressing",AED 56,false,false,true
r-013-i-017,r-013,Patty Lab,Coleslaw,Creamy cabbage and carrot slaw,AED 30,false,true,false
r-013-i-018,r-013,Patty Lab,Mac & Cheese,Three-cheese baked mac,AED 63,false,true,true
r-013-i-019,r-013,Patty Lab,Chicken Caesar Wrap,"Grilled chicken, romaine, parmesan",AED 93,false,false,false
r-013-i-020,r-013,Patty Lab,Chocolate Milkshake,Hand-spun with dark chocolate,AED 23,false,true,false
r-013-i-021,r-013,Patty Lab,Vanilla Milkshake,Madagascar vanilla bean,AED 39,false,true,false
r-013-i-022,r-013,Patty Lab,Strawberry Milkshake,Fresh strawberries,AED 70,false,true,false
r-013-i-023,r-013,Patty Lab,Salted Caramel Shake,"Burnt caramel, sea salt",AED 59,false,true,false
r-013-i-024,r-013,Patty Lab,Brownie Sundae,"Warm brownie, vanilla ice cream, fudge",AED 53,false,true,false
r-013-i-025,r-013,Patty Lab,Classic Classic Cheeseburger,"Beef patty, cheddar, lettuce, pickles, house sauce",AED 84,false,false,false
r-013-i-026,r-013,Patty Lab,Classic Double Smash Burger,"Two smashed beef patties, American cheese, onion",AED 18,false,false,false
r-013-i-027,r-013,Patty Lab,Classic Bacon BBQ Burger,"Beef, smoked bacon, BBQ sauce, crispy onions",AED 91,false,false,true
r-013-i-028,r-013,Patty Lab,Classic Mushroom Swiss Burger,"Beef, sauteed mushrooms, swiss cheese",AED 22,false,false,false
r-013-i-029,r-013,Patty Lab,Classic Spicy Jalapeno Burger,"Beef, pepper jack, jalapenos, chipotle mayo",AED 66,true,false,false
r-013-i-030,r-013,Patty Lab,Classic Truffle Burger,"Beef, truffle aioli, gruyere, arugula",AED 68,false,false,false
r-013-i-031,r-013,Patty Lab,Classic Buttermilk Chicken Burger,"Crispy chicken, slaw, pickles, ranch",AED 39,false,false,false
r-013-i-032,r-013,Patty Lab,Classic Nashville Hot Chicken,"Spiced fried chicken, pickles, hot honey",AED 26,true,false,false
r-013-i-033,r-013,Patty Lab,Classic Veggie Smash,"Black bean patty, avocado, smoked paprika mayo",AED 26,false,true,false
r-013-i-034,r-013,Patty Lab,Classic Beyond Burger,"Plant-based patty, cheddar, secret sauce",AED 87,false,true,false
r-013-i-035,r-013,Patty Lab,Classic Chili Cheese Fries,"Fries, beef chili, melted cheese, jalapenos",AED 51,true,false,true
r-013-i-036,r-013,Patty Lab,Classic Loaded Fries,"Fries, cheese sauce, bacon, scallion",AED 62,false,false,false
r-013-i-037,r-013,Patty Lab,Classic Sweet Potato Fries,With chipotle aioli,AED 19,false,true,true
r-013-i-038,r-013,Patty Lab,Classic Onion Rings,"Beer-battered, ranch dip",AED 50,false,true,false
r-013-i-039,r-013,Patty Lab,Classic Crispy Wings,"Choice of buffalo, BBQ or garlic parm",AED 29,true,false,false
r-013-i-040,r-013,Patty Lab,Classic Boneless Tenders,"Buttermilk-fried, honey mustard",AED 49,false,false,false
r-013-i-041,r-013,Patty Lab,Classic Caesar Salad,"Romaine, parmesan, croutons, anchovy dressing",AED 12,false,false,false
r-013-i-042,r-013,Patty Lab,Classic Coleslaw,Creamy cabbage and carrot slaw,AED 67,false,true,false
r-013-i-043,r-013,Patty Lab,Classic Mac & Cheese,Three-cheese baked mac,AED 60,false,true,false
r-013-i-044,r-013,Patty Lab,Classic Chicken Caesar Wrap,"Grilled chicken, romaine, parmesan",AED 41,false,false,false
r-013-i-045,r-013,Patty Lab,Classic Chocolate Milkshake,Hand-spun with dark chocolate,AED 57,false,true,true
r-013-i-046,r-013,Patty Lab,Classic Vanilla Milkshake,Madagascar vanilla bean,AED 17,false,true,false
r-013-i-047,r-013,Patty Lab,Classic Strawberry Milkshake,Fresh strawberries,AED 70,false,true,false
r-013-i-048,r-013,Patty Lab,Classic Salted Caramel Shake,"Burnt caramel, sea salt",AED 52,false,true,false
r-013-i-049,r-013,Patty Lab,Classic Brownie Sundae,"Warm brownie, vanilla ice cream, fudge",AED 85,false,true,false
r-014-i-000,r-014,Brew Burger House,Classic Cheeseburger,"Beef patty, cheddar, lettuce, pickles, house sauce",AED 14,false,false,false
r-014-i-001,r-014,Brew Burger House,Double Smash Burger,"Two smashed beef patties, American cheese, onion",AED 33,false,false,false
r-014-i-002,r-014,Brew Burger House,Bacon BBQ Burger,"Beef, smoked bacon, BBQ sauce, crispy onions",AED 91,false,false,false
r-014-i-003,r-014,Brew Burger House,Mushroom Swiss Burger,"Beef, sauteed mushrooms, swiss cheese",AED 58,false,false,true
r-014-i-004,r-014,Brew Burger House,Spicy Jalapeno Burger,"Beef, pepper jack, jalapenos, chipotle mayo",AED 25,true,false,true
r-014-i-005,r-014,Brew Burger House,Truffle Burger,"Beef, truffle aioli, gruyere, arugula",AED 87,false,false,false
r-014-i-006,r-014,Brew Burger House,Buttermilk Chicken Burger,"Crispy chicken, slaw, pickles, ranch",AED 22,false,false,false
r-014-i-007,r-014,Brew Burger House,Nashville Hot Chicken,"Spiced fried chicken, pickles, hot honey",AED 51,true,false,false
r-014-i-008,r-014,Brew Burger House,Veggie Smash,"Black bean patty, avocado, smoked paprika mayo",AED 40,false,true,false
r-014-i-009,r-014,Brew Burger House,Beyond Burger,"Plant-based patty, cheddar, secret sauce",AED 33,false,true,true
r-014-i-010,r-014,Brew Burger House,Chili Cheese Fries,"Fries, beef chili, melted cheese, jalapenos",AED 93,true,false,true
r-014-i-011,r-014,Brew Burger House,Loaded Fries,"Fries, cheese sauce, bacon, scallion",AED 77,false,false,true
r-014-i-012,r-014,Brew Burger House,Sweet Potato Fries,With chipotle aioli,AED 56,false,true,false
r-014-i-013,r-014,Brew Burger House,Onion Rings,"Beer-battered, ranch dip",AED 94,false,true,false
r-014-i-014,r-014,Brew Burger House,Crispy Wings,"Choice of buffalo, BBQ or garlic parm",AED 42,true,false,true
r-014-i-015,r-014,Brew Burger House,Boneless Tenders,"Buttermilk-fried, honey mustard",AED 44,false,false,true
r-014-i-016,r-014,Brew Burger House,Caesar Salad,"Romaine, parmesan, croutons, anchovy dressing",AED 89,false,false,true
r-014-i-017,r-014,Brew Burger House,Coleslaw,Creamy cabbage and carrot slaw,AED 95,false,true,true
r-014-i-018,r-014,Brew Burger House,Mac & Cheese,Three-cheese baked mac,AED 92,false,true,false
r-014-i-019,r-014,Brew Burger House,Chicken Caesar Wrap,"Grilled chicken, romaine, parmesan",AED 84,false,false,false
r-014-i-020,r-014,Brew Burger House,Chocolate Milkshake,Hand-spun with dark chocolate,AED 69,false,true,false
r-014-i-021,r-014,Brew Burger House,Vanilla Milkshake,Madagascar vanilla bean,AED 84,false,true,false
r-014-i-022,r-014,Brew Burger House,Strawberry Milkshake,Fresh strawberries,AED 91,false,true,false
r-014-i-023,r-014,Brew Burger House,Salted Caramel Shake,"Burnt caramel, sea salt",AED 92,false,true,false
r-014-i-024,r-014,Brew Burger House,Brownie Sundae,"Warm brownie, vanilla ice cream, fudge",AED 68,false,true,true
r-014-i-025,r-014,Brew Burger House,Classic Classic Cheeseburger,"Beef patty, cheddar, lettuce, pickles, house sauce",AED 68,false,false,false
r-014-i-026,r-014,Brew Burger House,Classic Double Smash Burger,"Two smashed beef patties, American cheese, onion",AED 47,false,false,false
r-014-i-027,r-014,Brew Burger House,Classic Bacon BBQ Burger,"Beef, smoked bacon, BBQ sauce, crispy onions",AED 57,false,false,false
r-014-i-028,r-014,Brew Burger House,Classic Mushroom Swiss Burger,"Beef, sauteed mushrooms, swiss cheese",AED 51,false,false,false
r-014-i-029,r-014,Brew Burger House,Classic Spicy Jalapeno Burger,"Beef, pepper jack, jalapenos, chipotle mayo",AED 16,true,false,true
r-014-i-030,r-014,Brew Burger House,Classic Truffle Burger,"Beef, truffle aioli, gruyere, arugula",AED 48,false,false,true
r-014-i-031,r-014,Brew Burger House,Classic Buttermilk Chicken Burger,"Crispy chicken, slaw, pickles, ranch",AED 23,false,false,false
r-014-i-032,r-014,Brew Burger House,Classic Nashville Hot Chicken,"Spiced fried chicken, pickles, hot honey",AED 76,true,false,false
r-014-i-033,r-014,Brew Burger House,Classic Veggie Smash,"Black bean patty, avocado, smoked paprika mayo",AED 86,false,true,false
r-014-i-034,r-014,Brew Burger House,Classic Beyond Burger,"Plant-based patty, cheddar, secret sauce",AED 17,false,true,false
r-014-i-035,r-014,Brew Burger House,Classic Chili Cheese Fries,"Fries, beef chili, melted cheese, jalapenos",AED 85,true,false,false
r-014-i-036,r-014,Brew Burger House,Classic Loaded Fries,"Fries, cheese sauce, bacon, scallion",AED 53,false,false,false
r-014-i-037,r-014,Brew Burger House,Classic Sweet Potato Fries,With chipotle aioli,AED 76,false,true,false
r-014-i-038,r-014,Brew Burger House,Classic Onion Rings,"Beer-battered, ranch dip",AED 19,false,true,false
r-014-i-039,r-014,Brew Burger House,Classic Crispy Wings,"Choice of buffalo, BBQ or garlic parm",AED 55,true,false,false
r-014-i-040,r-014,Brew Burger House,Classic Boneless Tenders,"Buttermilk-fried, honey mustard",AED 22,false,false,false
r-014-i-041,r-014,Brew Burger House,Classic Caesar Salad,"Romaine, parmesan, croutons, anchovy dressing",AED 34,false,false,true
r-014-i-042,r-014,Brew Burger House,Classic Coleslaw,Creamy cabbage and carrot slaw,AED 68,false,true,false
r-014-i-043,r-014,Brew Burger House,Classic Mac & Cheese,Three-cheese baked mac,AED 79,false,true,false
r-014-i-044,r-014,Brew Burger House,Classic Chicken Caesar Wrap,"Grilled chicken, romaine, parmesan",AED 32,false,false,false
r-014-i-045,r-014,Brew Burger House,Classic Chocolate Milkshake,Hand-spun with dark chocolate,AED 48,false,true,false
r-014-i-046,r-014,Brew Burger House,Classic Vanilla Milkshake,Madagascar vanilla bean,AED 55,false,true,false
r-014-i-047,r-014,Brew Burger House,Classic Strawberry Milkshake,Fresh strawberries,AED 18,false,true,false
r-014-i-048,r-014,Brew Burger House,Classic Salted Caramel Shake,"Burnt caramel, sea salt",AED 94,false,true,false
r-014-i-049,r-014,Brew Burger House,Classic Brownie Sundae,"Warm brownie, vanilla ice cream, fudge",AED 54,false,true,true
r-015-i-000,r-015,The Grindhouse,Classic Cheeseburger,"Beef patty, cheddar, lettuce, pickles, house sauce",AED 89,false,false,false
r-015-i-001,r-015,The Grindhouse,Double Smash Burger,"Two smashed beef patties, American cheese, onion",AED 54,false,false,true
r-015-i-002,r-015,The Grindhouse,Bacon BBQ Burger,"Beef, smoked bacon, BBQ sauce, crispy onions",AED 30,false,false,false
r-015-i-003,r-015,The Grindhouse,Mushroom Swiss Burger,"Beef, sauteed mushrooms, swiss cheese",AED 51,false,false,false
r-015-i-004,r-015,The Grindhouse,Spicy Jalapeno Burger,"Beef, pepper jack, jalapenos, chipotle mayo",AED 62,true,false,true
r-015-i-005,r-015,The Grindhouse,Truffle Burger,"Beef, truffle aioli, gruyere, arugula",AED 22,false,false,false
r-015-i-006,r-015,The Grindhouse,Buttermilk Chicken Burger,"Crispy chicken, slaw, pickles, ranch",AED 60,false,false,false
r-015-i-007,r-015,The Grindhouse,Nashville Hot Chicken,"Spiced fried chicken, pickles, hot honey",AED 54,true,false,false
r-015-i-008,r-015,The Grindhouse,Veggie Smash,"Black bean patty, avocado, smoked paprika mayo",AED 79,false,true,true
r-015-i-009,r-015,The Grindhouse,Beyond Burger,"Plant-based patty, cheddar, secret sauce",AED 66,false,true,false
r-015-i-010,r-015,The Grindhouse,Chili Cheese Fries,"Fries, beef chili, melted cheese, jalapenos",AED 14,true,false,false
r-015-i-011,r-015,The Grindhouse,Loaded Fries,"Fries, cheese sauce, bacon, scallion",AED 35,false,false,false
r-015-i-012,r-015,The Grindhouse,Sweet Potato Fries,With chipotle aioli,AED 55,false,true,false
r-015-i-013,r-015,The Grindhouse,Onion Rings,"Beer-battered, ranch dip",AED 74,false,true,true
r-015-i-014,r-015,The Grindhouse,Crispy Wings,"Choice of buffalo, BBQ or garlic parm",AED 29,true,false,true
r-015-i-015,r-015,The Grindhouse,Boneless Tenders,"Buttermilk-fried, honey mustard",AED 49,false,false,false
r-015-i-016,r-015,The Grindhouse,Caesar Salad,"Romaine, parmesan, croutons, anchovy dressing",AED 24,false,false,false
r-015-i-017,r-015,The Grindhouse,Coleslaw,Creamy cabbage and carrot slaw,AED 81,false,true,false
r-015-i-018,r-015,The Grindhouse,Mac & Cheese,Three-cheese baked mac,AED 79,false,true,true
r-015-i-019,r-015,The Grindhouse,Chicken Caesar Wrap,"Grilled chicken, romaine, parmesan",AED 55,false,false,false
r-015-i-020,r-015,The Grindhouse,Chocolate Milkshake,Hand-spun with dark chocolate,AED 91,false,true,true
r-015-i-021,r-015,The Grindhouse,Vanilla Milkshake,Madagascar vanilla bean,AED 60,false,true,true
r-015-i-022,r-015,The Grindhouse,Strawberry Milkshake,Fresh strawberries,AED 35,false,true,false
r-015-i-023,r-015,The Grindhouse,Salted Caramel Shake,"Burnt caramel, sea salt",AED 91,false,true,false
r-015-i-024,r-015,The Grindhouse,Brownie Sundae,"Warm brownie, vanilla ice cream, fudge",AED 33,false,true,false
r-015-i-025,r-015,The Grindhouse,Classic Classic Cheeseburger,"Beef patty, cheddar, lettuce, pickles, house sauce",AED 17,false,false,false
r-015-i-026,r-015,The Grindhouse,Classic Double Smash Burger,"Two smashed beef patties, American cheese, onion",AED 42,false,false,false
r-015-i-027,r-015,The Grindhouse,Classic Bacon BBQ Burger,"Beef, smoked bacon, BBQ sauce, crispy onions",AED 90,false,false,false
r-015-i-028,r-015,The Grindhouse,Classic Mushroom Swiss Burger,"Beef, sauteed mushrooms, swiss cheese",AED 69,false,false,false
r-015-i-029,r-015,The Grindhouse,Classic Spicy Jalapeno Burger,"Beef, pepper jack, jalapenos, chipotle mayo",AED 42,true,false,false
r-015-i-030,r-015,The Grindhouse,Classic Truffle Burger,"Beef, truffle aioli, gruyere, arugula",AED 72,false,false,false
r-015-i-031,r-015,The Grindhouse,Classic Buttermilk Chicken Burger,"Crispy chicken, slaw, pickles, ranch",AED 36,false,false,false
r-015-i-032,r-015,The Grindhouse,Classic Nashville Hot Chicken,"Spiced fried chicken, pickles, hot honey",AED 85,true,false,false
r-015-i-033,r-015,The Grindhouse,Classic Veggie Smash,"Black bean patty, avocado, smoked paprika mayo",AED 71,false,true,false
r-015-i-034,r-015,The Grindhouse,Classic Beyond Burger,"Plant-based patty, cheddar, secret sauce",AED 60,false,true,false
r-015-i-035,r-015,The Grindhouse,Classic Chili Cheese Fries,"Fries, beef chili, melted cheese, jalapenos",AED 65,true,false,false
r-015-i-036,r-015,The Grindhouse,Classic Loaded Fries,"Fries, cheese sauce, bacon, scallion",AED 37,false,false,false
r-015-i-037,r-015,The Grindhouse,Classic Sweet Potato Fries,With chipotle aioli,AED 29,false,true,false
r-015-i-038,r-015,The Grindhouse,Classic Onion Rings,"Beer-battered, ranch dip",AED 18,false,true,false
r-015-i-039,r-015,The Grindhouse,Classic Crispy Wings,"Choice of buffalo, BBQ or garlic parm",AED 59,true,false,false
r-015-i-040,r-015,The Grindhouse,Classic Boneless Tenders,"Buttermilk-fried, honey mustard",AED 25,false,false,false
r-015-i-041,r-015,The Grindhouse,Classic Caesar Salad,"Romaine, parmesan, croutons, anchovy dressing",AED 78,false,false,false
r-015-i-042,r-015,The Grindhouse,Classic Coleslaw,Creamy cabbage and carrot slaw,AED 48,false,true,true
r-015-i-043,r-015,The Grindhouse,Classic Mac & Cheese,Three-cheese baked mac,AED 32,false,true,false
r-015-i-044,r-015,The Grindhouse,Classic Chicken Caesar Wrap,"Grilled chicken, romaine, parmesan",AED 77,false,false,true
r-015-i-045,r-015,The Grindhouse,Classic Chocolate Milkshake,Hand-spun with dark chocolate,AED 67,false,true,true
r-015-i-046,r-015,The Grindhouse,Classic Vanilla Milkshake,Madagascar vanilla bean,AED 40,false,true,false
r-015-i-047,r-015,The Grindhouse,Classic Strawberry Milkshake,Fresh strawberries,AED 56,false,true,false
r-015-i-048,r-015,The Grindhouse,Classic Salted Caramel Shake,"Burnt caramel, sea salt",AED 65,false,true,true
r-015-i-049,r-015,The Grindhouse,Classic Brownie Sundae,"Warm brownie, vanilla ice cream, fudge",AED 76,false,true,false
r-016-i-000,r-016,Bombay Brasserie,Butter Chicken,Tandoori chicken in creamy tomato gravy,AED 15,false,false,false
r-016-i-001,r-016,Bombay Brasserie,Chicken Tikka Masala,Grilled chicken in spiced tomato cream sauce,AED 24,true,false,false
r-016-i-002,r-016,Bombay Brasserie,Lamb Rogan Josh,Slow-cooked lamb in Kashmiri chilli gravy,AED 95,true,false,false
r-016-i-003,r-016,Bombay Brasserie,Palak Paneer,Indian cheese in spiced spinach gravy,AED 30,false,true,true
r-016-i-004,r-016,Bombay Brasserie,Paneer Tikka,Grilled cottage cheese with bell peppers,AED 48,false,true,false
r-016-i-005,r-016,Bombay Brasserie,Chana Masala,Spiced chickpea curry,AED 72,true,true,false
r-016-i-006,r-016,Bombay Brasserie,Dal Makhani,Slow-cooked black lentils with cream,AED 29,false,true,false
r-016-i-007,r-016,Bombay Brasserie,Dal Tadka,Yellow lentils tempered with cumin and garlic,AED 72,false,true,false
r-016-i-008,r-016,Bombay Brasserie,Aloo Gobi,Potato and cauliflower with turmeric,AED 12,false,true,false
r-016-i-009,r-016,Bombay Brasserie,Biryani Chicken,Fragrant basmati with marinated chicken,AED 14,true,false,false
r-016-i-010,r-016,Bombay Brasserie,Biryani Lamb,Layered basmati rice with spiced lamb,AED 31,true,false,false
r-016-i-011,r-016,Bombay Brasserie,Biryani Vegetable,Mixed vegetable biryani with raita,AED 89,false,true,false
r-016-i-012,r-016,Bombay Brasserie,Garlic Naan,Tandoor-baked bread brushed with garlic butter,AED 26,false,true,false
r-016-i-013,r-016,Bombay Brasserie,Butter Naan,Soft flatbread brushed with ghee,AED 42,false,true,false
r-016-i-014,r-016,Bombay Brasserie,Tandoori Roti,Whole wheat flatbread from the tandoor,AED 18,false,true,true
r-016-i-015,r-016,Bombay Brasserie,Samosa,Crispy pastry with spiced potato and peas,AED 93,false,true,false
r-016-i-016,r-016,Bombay Brasserie,Onion Bhaji,Crispy onion fritters with chutney,AED 70,false,true,true
r-016-i-017,r-016,Bombay Brasserie,Vegetable Pakora,Mixed vegetable fritters,AED 75,false,true,false
r-016-i-018,r-016,Bombay Brasserie,Chicken 65,Fiery South Indian fried chicken,AED 14,true,false,false
r-016-i-019,r-016,Bombay Brasserie,Tandoori Chicken,Charred yogurt-marinated chicken,AED 85,true,false,true
r-016-i-020,r-016,Bombay Brasserie,Mango Lassi,Sweet yogurt drink with Alphonso mango,AED 30,false,true,false
r-016-i-021,r-016,Bombay Brasserie,Masala Chai,Spiced milk tea,AED 12,false,true,false
r-016-i-022,r-016,Bombay Brasserie,Gulab Jamun,Milk dumplings in rose syrup,AED 42,false,true,false
r-016-i-023,r-016,Bombay Brasserie,Kheer,Cardamom rice pudding with pistachio,AED 35,false,true,false
r-016-i-024,r-016,Bombay Brasserie,Kulfi,Traditional Indian ice cream with saffron,AED 22,false,true,false
r-016-i-025,r-016,Bombay Brasserie,Classic Butter Chicken,Tandoori chicken in creamy tomato gravy,AED 58,false,false,true
r-016-i-026,r-016,Bombay Brasserie,Classic Chicken Tikka Masala,Grilled chicken in spiced tomato cream sauce,AED 79,true,false,false
r-016-i-027,r-016,Bombay Brasserie,Classic Lamb Rogan Josh,Slow-cooked lamb in Kashmiri chilli gravy,AED 76,true,false,false
r-016-i-028,r-016,Bombay Brasserie,Classic Palak Paneer,Indian cheese in spiced spinach gravy,AED 61,false,true,false
r-016-i-029,r-016,Bombay Brasserie,Classic Paneer Tikka,Grilled cottage cheese with bell peppers,AED 17,false,true,false
r-016-i-030,r-016,Bombay Brasserie,Classic Chana Masala,Spiced chickpea curry,AED 59,true,true,false
r-016-i-031,r-016,Bombay Brasserie,Classic Dal Makhani,Slow-cooked black lentils with cream,AED 14,false,true,false
r-016-i-032,r-016,Bombay Brasserie,Classic Dal Tadka,Yellow lentils tempered with cumin and garlic,AED 20,false,true,false
r-016-i-033,r-016,Bombay Brasserie,Classic Aloo Gobi,Potato and cauliflower with turmeric,AED 92,false,true,true
r-016-i-034,r-016,Bombay Brasserie,Classic Biryani Chicken,Fragrant basmati with marinated chicken,AED 86,true,false,false
r-016-i-035,r-016,Bombay Brasserie,Classic Biryani Lamb,Layered basmati rice with spiced lamb,AED 54,true,false,true
r-016-i-036,r-016,Bombay Brasserie,Classic Biryani Vegetable,Mixed vegetable biryani with raita,AED 57,false,true,false
r-016-i-037,r-016,Bombay Brasserie,Classic Garlic Naan,Tandoor-baked bread brushed with garlic butter,AED 94,false,true,false
r-016-i-038,r-016,Bombay Brasserie,Classic Butter Naan,Soft flatbread brushed with ghee,AED 71,false,true,false
r-016-i-039,r-016,Bombay Brasserie,Classic Tandoori Roti,Whole wheat flatbread from the tandoor,AED 73,false,true,false
r-016-i-040,r-016,Bombay Brasserie,Classic Samosa,Crispy pastry with spiced potato and peas,AED 29,false,true,true
r-016-i-041,r-016,Bombay Brasserie,Classic Onion Bhaji,Crispy onion fritters with chutney,AED 70,false,true,true
r-016-i-042,r-016,Bombay Brasserie,Classic Vegetable Pakora,Mixed vegetable fritters,AED 37,false,true,true
r-016-i-043,r-016,Bombay Brasserie,Classic Chicken 65,Fiery South Indian fried chicken,AED 37,true,false,false
r-016-i-044,r-016,Bombay Brasserie,Classic Tandoori Chicken,Charred yogurt-marinated chicken,AED 52,true,false,false
r-016-i-045,r-016,Bombay Brasserie,Classic Mango Lassi,Sweet yogurt drink with Alphonso mango,AED 77,false,true,false
r-016-i-046,r-016,Bombay Brasserie,Classic Masala Chai,Spiced milk tea,AED 81,false,true,false
r-016-i-047,r-016,Bombay Brasserie,Classic Gulab Jamun,Milk dumplings in rose syrup,AED 16,false,true,false
r-016-i-048,r-016,Bombay Brasserie,Classic Kheer,Cardamom rice pudding with pistachio,AED 36,false,true,false
r-016-i-049,r-016,Bombay Brasserie,Classic Kulfi,Traditional Indian ice cream with saffron,AED 18,false,true,false
r-017-i-000,r-017,Tandoor Express,Butter Chicken,Tandoori chicken in creamy tomato gravy,AED 63,false,false,false
r-017-i-001,r-017,Tandoor Express,Chicken Tikka Masala,Grilled chicken in spiced tomato cream sauce,AED 61,true,false,false
r-017-i-002,r-017,Tandoor Express,Lamb Rogan Josh,Slow-cooked lamb in Kashmiri chilli gravy,AED 35,true,false,false
r-017-i-003,r-017,Tandoor Express,Palak Paneer,Indian cheese in spiced spinach gravy,AED 75,false,true,false
r-017-i-004,r-017,Tandoor Express,Paneer Tikka,Grilled cottage cheese with bell peppers,AED 78,false,true,false
r-017-i-005,r-017,Tandoor Express,Chana Masala,Spiced chickpea curry,AED 22,true,true,false
r-017-i-006,r-017,Tandoor Express,Dal Makhani,Slow-cooked black lentils with cream,AED 22,false,true,false
r-017-i-007,r-017,Tandoor Express,Dal Tadka,Yellow lentils tempered with cumin and garlic,AED 35,false,true,false
r-017-i-008,r-017,Tandoor Express,Aloo Gobi,Potato and cauliflower with turmeric,AED 53,false,true,true
r-017-i-009,r-017,Tandoor Express,Biryani Chicken,Fragrant basmati with marinated chicken,AED 53,true,false,false
r-017-i-010,r-017,Tandoor Express,Biryani Lamb,Layered basmati rice with spiced lamb,AED 51,true,false,false
r-017-i-011,r-017,Tandoor Express,Biryani Vegetable,Mixed vegetable biryani with raita,AED 66,false,true,true
r-017-i-012,r-017,Tandoor Express,Garlic Naan,Tandoor-baked bread brushed with garlic butter,AED 68,false,true,false
r-017-i-013,r-017,Tandoor Express,Butter Naan,Soft flatbread brushed with ghee,AED 17,false,true,false
r-017-i-014,r-017,Tandoor Express,Tandoori Roti,Whole wheat flatbread from the tandoor,AED 57,false,true,false
r-017-i-015,r-017,Tandoor Express,Samosa,Crispy pastry with spiced potato and peas,AED 67,false,true,false
r-017-i-016,r-017,Tandoor Express,Onion Bhaji,Crispy onion fritters with chutney,AED 19,false,true,true
r-017-i-017,r-017,Tandoor Express,Vegetable Pakora,Mixed vegetable fritters,AED 93,false,true,false
r-017-i-018,r-017,Tandoor Express,Chicken 65,Fiery South Indian fried chicken,AED 77,true,false,false
r-017-i-019,r-017,Tandoor Express,Tandoori Chicken,Charred yogurt-marinated chicken,AED 32,true,false,false
r-017-i-020,r-017,Tandoor Express,Mango Lassi,Sweet yogurt drink with Alphonso mango,AED 30,false,true,false
r-017-i-021,r-017,Tandoor Express,Masala Chai,Spiced milk tea,AED 68,false,true,true
r-017-i-022,r-017,Tandoor Express,Gulab Jamun,Milk dumplings in rose syrup,AED 20,false,true,true
r-017-i-023,r-017,Tandoor Express,Kheer,Cardamom rice pudding with pistachio,AED 94,false,true,false
r-017-i-024,r-017,Tandoor Express,Kulfi,Traditional Indian ice cream with saffron,AED 61,false,true,false
r-017-i-025,r-017,Tandoor Express,Classic Butter Chicken,Tandoori chicken in creamy tomato gravy,AED 16,false,false,false
r-017-i-026,r-017,Tandoor Express,Classic Chicken Tikka Masala,Grilled chicken in spiced tomato cream sauce,AED 69,true,false,false
r-017-i-027,r-017,Tandoor Express,Classic Lamb Rogan Josh,Slow-cooked lamb in Kashmiri chilli gravy,AED 59,true,false,false
r-017-i-028,r-017,Tandoor Express,Classic Palak Paneer,Indian cheese in spiced spinach gravy,AED 21,false,true,false
r-017-i-029,r-017,Tandoor Express,Classic Paneer Tikka,Grilled cottage cheese with bell peppers,AED 79,false,true,false
r-017-i-030,r-017,Tandoor Express,Classic Chana Masala,Spiced chickpea curry,AED 52,true,true,false
r-017-i-031,r-017,Tandoor Express,Classic Dal Makhani,Slow-cooked black lentils with cream,AED 43,false,true,false
r-017-i-032,r-017,Tandoor Express,Classic Dal Tadka,Yellow lentils tempered with cumin and garlic,AED 15,false,true,false
